CaseOrder,Customer_id,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
2120,X557239,Mahopac,NY,Putnam,10541,41.37973,-73.75123,26656,Suburban,America/New_York,"Nurse, mental health",4.0,53.27574750830565,No Schooling Completed,Full Time,40978.57,Separated,Female,Yes,9.52401391,14,1,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),14.29414131,243.3940935,1838.646452,4,4,3,4,2,4,5,4
2121,B393356,Port Townsend,WA,Jefferson,98368,48.04272,-122.84534,15848,Urban,America/Los_Angeles,Research scientist (medical),0.0,88.0,"9th Grade to 12th Grade, No Diploma",Student,83234.64,Widowed,Female,No,6.33246132,7,0,2,No,One year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,No,Credit Card (automatic),28.28911217,180.7303087,2461.030222,4,4,3,4,3,4,3,4
2122,Z113624,Panama,NY,Chautauqua,14767,42.05172,-79.51133,2146,Suburban,America/New_York,"Civil engineer, consulting",2.0,77.0,Associate's Degree,Full Time,29681.02,Divorced,Female,No,10.74470271,9,2,0,No,Month-to-month,Yes,No,DSL,No,No,No,No,No,Yes,No,No,No,Mailed Check,27.98864634,104.2345291,2679.7752649999998,2,2,1,5,3,3,3,4
2123,D323193,Binford,ND,Griggs,58416,47.54155,-98.35019,388,Urban,America/Chicago,"Secretary, company",1.0,43.0,Regular High School Diploma,Full Time,66031.23,Divorced,Male,No,12.11909683,9,4,1,No,Two Year,No,No,Fiber Optic,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),15.2108962,209.70718730000002,3398.8427520151345,4,5,4,5,2,4,5,6
2124,Q38182,Los Angeles,CA,Los Angeles,90015,34.039390000000004,-118.26645,21801,Suburban,America/Los_Angeles,Museum/gallery conservator,0.0,53.27574750830565,Bachelor's Degree,Student,146782.33,Never Married,Male,No,12.69810477,12,2,0,No,Two Year,Yes,No,DSL,Yes,No,No,No,No,No,No,No,No,Mailed Check,1.577214665,93.76370159999999,575.972228,2,3,2,3,3,3,4,3
2125,O147731,Isabela,PR,Isabela,662,18.46208,-67.01445,40290,Urban,America/Puerto_Rico,Quantity surveyor,3.0,45.0,"Some College, Less than 1 Year",Retired,31486.98,Married,Male,No,9.616078887999999,11,1,0,Yes,One year,No,No,Fiber Optic,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,16.85088273,137.1654399,1661.330631,3,3,3,5,3,4,4,4
2126,L560973,Century,FL,Escambia,32535,30.964879999999997,-87.34907,5694,Suburban,America/Chicago,"Civil engineer, contracting",3.0,57.0,Doctorate Degree,Part Time,39936.76222636489,Married,Male,No,12.8089484,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,Yes,No,No,Electronic Check,34.49885764604514,172.16017659999997,1770.955679,4,4,5,4,4,3,3,5
2127,L753491,Hennepin,OK,Murray,73444,34.45669,-97.35849,118,Suburban,America/Chicago,Agricultural consultant,4.0,36.0,"Some College, 1 or More Years, No Degree",Full Time,42345.0,Married,Male,Yes,6.479227848,12,0,0,No,Month-to-month,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mailed Check,8.275831597,236.42729559999998,2019.2134350000001,3,2,2,4,4,2,3,3
2128,B293319,Surprise,NE,Butler,68667,41.11012,-97.30806,98,Suburban,America/Chicago,Retail banker,0.0,69.0,Regular High School Diploma,Full Time,40134.85,Divorced,Male,Yes,8.618113336,13,3,1,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Mailed Check,1.789614263,207.5164655,568.2599017000001,2,2,2,4,4,3,3,3
2129,I854440,Bigelow,AR,Perry,72016,34.97078,-92.63162,3076,Rural,America/Chicago,Social researcher,8.0,30.0,Regular High School Diploma,Full Time,54713.59,Divorced,Female,No,11.36849522,18,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,No,Credit Card (automatic),5.943865032000001,159.86280469999997,1039.2860449999998,4,4,3,3,4,3,3,3
2130,K466776,Fairgrove,MI,Tuscola,48733,43.53287,-83.59069000000001,1693,Urban,America/Detroit,"Designer, ceramics/pottery",3.0,44.0,Bachelor's Degree,Full Time,39936.76222636489,Divorced,Male,Yes,12.67609753,15,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,No,Mailed Check,11.42549935,192.57477659999998,1452.597026,4,4,4,3,4,4,5,4
2131,I395495,Cunningham,KS,Kingman,67035,37.64861,-98.39197,915,Urban,America/Chicago,Advertising copywriter,0.0,25.0,"9th Grade to 12th Grade, No Diploma",Full Time,22823.11,Widowed,Male,Yes,9.552802531000001,16,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Credit Card (automatic),29.35794932,277.6687165,3398.8427520151345,3,2,2,4,3,2,4,4
2132,T13306,Fowler,CA,Fresno,93625,36.62455,-119.67186000000001,7862,Suburban,America/Los_Angeles,Intelligence analyst,3.0,31.0,Regular High School Diploma,Retired,61362.22,Married,Female,Yes,14.62674814,12,1,1,No,Month-to-month,No,No,DSL,No,Yes,No,No,No,No,Yes,No,Yes,Mailed Check,3.5436645139999996,151.40761730000003,1121.8490689999999,4,3,5,3,3,3,4,4
2133,V473732,Glade Park,CO,Mesa,81523,38.95268,-108.88256000000001,1074,Urban,America/Denver,"Biochemist, clinical",1.0,53.27574750830565,Bachelor's Degree,Full Time,36887.34,Separated,Male,Yes,13.95516998,16,2,0,No,One year,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,No,Electronic Check,1.754530023,222.3055134,713.7053321000001,3,4,2,3,5,2,3,2
2134,A764510,Riesel,TX,McLennan,76682,31.45363,-96.9059,2817,Suburban,America/Chicago,Financial planner,3.0,48.0,"Some College, 1 or More Years, No Degree",Retired,50354.57,Widowed,Male,No,8.524059042000001,15,1,0,No,One year,No,No,DSL,Yes,No,No,Yes,No,No,No,Yes,Yes,Electronic Check,19.87068911,149.4503584,2472.105638,3,4,3,2,4,4,2,3
2135,V812066,Biloxi,MS,Harrison,39532,30.49403,-88.96513,37122,Rural,America/Chicago,Private music teacher,4.0,31.0,Master's Degree,Full Time,14048.76,Married,Male,Yes,6.770427454,13,1,1,No,Two Year,No,No,None,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),9.637159013,203.2423018,1639.666431,7,6,6,6,4,4,5,6
2136,U505805,Klamath River,CA,Siskiyou,96050,41.900059999999996,-122.88683999999999,418,Urban,America/Los_Angeles,Soil scientist,0.0,53.27574750830565,"Some College, Less than 1 Year",Full Time,67252.64,Separated,Female,Yes,5.97349001,14,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bank Transfer(automatic),7.65821751,276.03428310000004,1417.62647,2,2,3,3,5,2,2,3
2137,I319064,Sebastopol,CA,Sonoma,95472,38.39817,-122.86573999999999,30762,Urban,America/Los_Angeles,Product designer,1.0,57.0,Associate's Degree,Full Time,35925.24,Widowed,Female,Yes,9.177401284,11,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),34.49885764604514,243.4112937,809.8918631,5,4,3,3,5,3,4,4
2138,V112489,Pentwater,MI,Oceana,49449,43.79871,-86.3746,2578,Rural,America/Detroit,"Engineer, building services",1.0,23.0,Bachelor's Degree,Part Time,25895.26,Married,Male,No,7.817106089,8,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,8.353797579,139.27914040000002,1117.452708,3,3,3,5,4,3,3,3
2139,B198899,Conway,AR,Faulkner,72034,35.05041,-92.48685,50137,Rural,America/Chicago,Arboriculturist,1.0,53.27574750830565,"Some College, Less than 1 Year",Unemployed,31637.52,Divorced,Female,Yes,13.67712616,18,1,0,No,One year,Yes,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Credit Card (automatic),9.370169515,256.3504548,1428.317482,4,4,3,4,2,4,5,6
2140,V86587,Carlton,TX,Hamilton,76436,31.86715,-98.22143,237,Rural,America/Chicago,IT technical support officer,3.0,69.0,Nursery School to 8th Grade,Full Time,84810.48,Married,Female,No,17.74005574,12,0,0,No,Two Year,No,No,None,Yes,No,No,No,Yes,No,No,Yes,No,Electronic Check,3.3624607689999997,129.2413064,3398.8427520151345,4,3,3,4,4,4,4,3
2141,A552277,Philadelphia,TN,Loudon,37846,35.68052,-84.48496999999999,4651,Rural,America/New_York,"Buyer, retail",3.0,61.0,"9th Grade to 12th Grade, No Diploma",Full Time,39936.76222636489,Married,Male,No,10.20213246,15,1,0,No,Two Year,No,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Mailed Check,34.49885764604514,185.60864019999997,1566.320356,4,5,4,3,3,3,4,2
2142,P183760,Philo,CA,Mendocino,95466,39.08618,-123.50398999999999,993,Rural,America/Los_Angeles,Surgeon,1.0,84.0,"9th Grade to 12th Grade, No Diploma",Full Time,39936.76222636489,Divorced,Female,Yes,2.804548555,15,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,Yes,No,Yes,No,No,No,Yes,Electronic Check,2.43236585,106.4334257,688.0396207,3,3,4,4,3,4,3,3
2143,I697644,Anchorage,AK,Anchorage,99515,61.11739,-149.88889,23402,Urban,America/Anchorage,"Embryologist, clinical",6.0,54.0,Master's Degree,Student,64945.46,Never Married,Female,Yes,4.0389381360000005,13,1,0,Yes,Month-to-month,No,No,None,Yes,No,No,No,No,No,Yes,No,No,Mailed Check,4.0440681739999995,103.42384179999999,694.3512691000001,3,4,4,3,3,4,3,4
2144,L736665,Ingalls,IN,Madison,46048,39.95551,-85.80178000000001,2191,Urban,America/Indiana/Indianapolis,Jewellery designer,0.0,67.0,Master's Degree,Full Time,50160.82,Separated,Female,Yes,7.982035023,12,0,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Electronic Check,13.1739076,127.09144270000002,3398.8427520151345,2,3,4,1,5,2,4,4
2145,Y37120,Roseboom,NY,Otsego,13450,42.70192,-74.81031999999999,42,Rural,America/New_York,Hydrographic surveyor,1.0,53.27574750830565,Regular High School Diploma,Retired,22622.48,Separated,Male,Yes,13.23860771,12,0,0,No,Two Year,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),1.375567117,233.4630395,840.8676674000001,5,5,4,3,2,4,4,5
2146,N38323,East Dover,VT,Windham,5341,42.96365,-72.79678,388,Urban,America/New_York,"Teacher, early years/pre",8.0,37.0,"Some College, Less than 1 Year",Student,53358.81,Widowed,Male,Yes,13.63111377,9,0,2,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),24.34252164,203.0695366,3276.40737,2,1,3,4,2,3,4,3
2147,D72544,Glenwood,NJ,Sussex,7418,41.2386,-74.48737,2304,Suburban,America/New_York,Hydrologist,1.0,29.0,Bachelor's Degree,Unemployed,30303.35,Divorced,Female,Yes,13.52351143,16,2,0,No,Two Year,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,2.301375788,224.0868898,1408.8987789999999,3,4,5,3,4,5,4,3
2148,U204351,Carlisle,SC,Union,29031,34.60413,-81.43241,1136,Urban,America/New_York,Geoscientist,2.0,23.0,Associate's Degree,Full Time,27135.0,Married,Female,No,9.686006731,8,2,0,No,Two Year,Yes,No,DSL,Yes,No,No,No,No,No,No,No,No,Electronic Check,16.64818407,92.12142672,1923.2854579999998,3,2,4,3,4,3,4,3
2149,K640365,Emerald Isle,NC,Carteret,28594,34.66485,-77.02923,3697,Rural,America/New_York,Sports coach,0.0,36.0,Bachelor's Degree,Unemployed,21345.51,Divorced,Female,No,9.702306219,13,0,1,No,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,No,No,No,Yes,Yes,Credit Card (automatic),4.564095883999999,151.3948416,1113.4047150000001,4,3,4,5,2,4,5,3
2150,Q448092,Texico,NM,Curry,88135,34.5867,-103.09334,1583,Rural,America/Denver,Garment/textile technologist,8.0,76.0,Master's Degree,Retired,22626.3,Never Married,Male,Yes,14.69267051,18,0,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Credit Card (automatic),5.297269922,132.37008799999998,1326.549878,5,4,4,2,4,3,3,3
2151,P636120,Hallettsville,TX,Lavaca,77964,29.377,-96.84376999999999,8304,Urban,America/Chicago,Medical laboratory scientific officer,0.0,87.0,Regular High School Diploma,Unemployed,39936.76222636489,Widowed,Female,Yes,8.25969249,7,4,0,No,Month-to-month,Yes,No,DSL,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Mailed Check,5.0994540310000005,213.0407994,1362.860416,3,4,5,4,3,3,1,2
2152,F176447,Indian Hills,CO,Jefferson,80454,39.629509999999996,-105.25136,1347,Urban,America/Denver,"Engineer, materials",1.0,51.0,"9th Grade to 12th Grade, No Diploma",Part Time,39936.76222636489,Widowed,Male,No,9.982075421000001,12,2,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Credit Card (automatic),6.039549859,125.9673348,685.3879681,4,3,5,2,4,2,5,3
2153,Q501175,Brandon,MS,Rankin,39047,32.42629,-89.94677,38787,Suburban,America/Chicago,"Engineer, land",1.0,25.0,Bachelor's Degree,Part Time,39936.76222636489,Divorced,Female,No,15.32416005,11,1,1,No,One year,No,No,DSL,No,Yes,No,No,No,No,No,No,Yes,Bank Transfer(automatic),34.49885764604514,123.247161,3398.8427520151345,4,3,4,4,3,3,3,4
2154,T805948,Sandy,UT,Salt Lake,84094,40.57182,-111.86214,29015,Rural,America/Denver,"Engineer, civil (consulting)",0.0,40.0,Master's Degree,Retired,39936.76222636489,Divorced,Female,No,8.878702907000001,13,3,0,No,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,No,No,No,Electronic Check,21.61866846,145.4624133,1871.7066120000002,4,4,5,3,3,4,4,5
2155,J141938,New Enterprise,PA,Bedford,16664,40.17966,-78.4243,2067,Suburban,America/New_York,Geophysical data processor,8.0,30.0,GED or Alternative Credential,Full Time,19284.89,Separated,Female,Yes,13.00210442,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Electronic Check,15.51193815,222.3459838,2196.073405,3,2,4,5,2,5,5,3
2156,V17305,Kansas City,MO,Jackson,64102,39.093959999999996,-94.60410999999999,0,Suburban,America/Chicago,Community arts worker,4.0,53.27574750830565,Nursery School to 8th Grade,Full Time,44107.0,Never Married,Male,No,18.19610106,12,1,0,No,Two Year,Yes,No,None,Yes,No,Yes,No,No,No,Yes,No,No,Bank Transfer(automatic),1.319200696,108.5305443,646.5215872,4,3,3,2,4,4,4,5
2157,F558455,San Antonio,TX,Bexar,78238,29.471420000000002,-98.61823000000001,25052,Rural,America/Chicago,Electrical engineer,2.0,21.0,No Schooling Completed,Part Time,32849.77,Never Married,Female,No,6.69276124,12,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Credit Card (automatic),8.666469705,160.0759688,1094.644005,4,3,3,4,3,5,3,5
2158,A393225,Salemburg,NC,Sampson,28385,35.04526,-78.49749,2562,Rural,America/New_York,Advertising account executive,0.0,65.0,Associate's Degree,Full Time,4795.94,Married,Male,Yes,9.163061171,8,3,0,Yes,Month-to-month,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Electronic Check,2.7486517719999997,233.71112889999998,3398.8427520151345,1,2,2,5,4,3,2,3
2159,Z960689,Leesburg,OH,Highland,45135,39.346070000000005,-83.54426,4705,Urban,America/New_York,Theatre director,0.0,51.0,"Some College, 1 or More Years, No Degree",Full Time,44034.11,Married,Female,Yes,4.959807214,9,1,0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,No,Electronic Check,2.830634895,239.4997818,753.4677251,2,3,4,5,2,4,3,4
2160,Z680350,Shinglehouse,PA,Potter,16748,41.9445,-78.15298,2680,Rural,America/New_York,"Conservator, museum/gallery",1.0,53.27574750830565,"Some College, 1 or More Years, No Degree",Full Time,55836.3,Separated,Male,Yes,11.00539687,9,1,0,No,Two Year,No,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Mailed Check,5.423869196,185.6600611,1179.3818019999999,3,3,3,5,4,4,3,3
2161,S584863,Odessa,TX,Ector,79762,31.92649,-102.35443000000001,43881,Suburban,America/Chicago,"Biochemist, clinical",1.0,52.0,Nursery School to 8th Grade,Full Time,7321.37,Divorced,Female,Yes,8.449614877,9,1,0,No,One year,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),12.09638185,222.27660759999998,2028.886621,2,3,2,4,3,2,4,3
2162,A184694,Duluth,MN,St. Louis,55811,46.84223,-92.22245,27541,Suburban,America/Chicago,Technical author,1.0,68.0,Regular High School Diploma,Full Time,70673.64,Never Married,Female,No,12.71951722,9,1,1,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,No,Credit Card (automatic),7.117565292999999,116.5345456,1133.237154,3,4,3,2,3,3,4,4
2163,B921858,Cyclone,WV,Wyoming,24827,37.74225,-81.6667,1271,Urban,America/New_York,Trade union research officer,1.0,89.0,Regular High School Diploma,Full Time,62998.7,Widowed,Female,Yes,10.40011046,11,0,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,No,Yes,Bank Transfer(automatic),6.575241688999999,158.22817859999998,727.0646246,3,5,3,3,5,4,6,2
2164,P43520,Durham,NC,Durham,27713,35.89496,-78.92368,54621,Rural,America/New_York,Legal secretary,0.0,18.0,Regular High School Diploma,Full Time,39936.76222636489,Married,Female,Yes,12.8820715,12,2,0,Yes,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Electronic Check,9.951059122,262.1339982,1539.085061,5,4,4,4,3,4,4,4
2165,R212242,Niagara Falls,NY,Niagara,14302,43.0939,-79.04919,109,Suburban,America/Toronto,"Production assistant, television",2.0,33.0,Master's Degree,Full Time,26284.13,Widowed,Female,Yes,12.17554146,7,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,No,No,No,Yes,Yes,No,Bank Transfer(automatic),7.890162812000001,209.08021730000002,1291.871722,3,4,4,5,4,4,5,4
2166,W304055,Oakridge,OR,Lane,97463,43.74773,-122.40386000000001,3866,Suburban,America/Los_Angeles,Sales promotion account executive,3.0,58.0,"Some College, 1 or More Years, No Degree",Retired,64117.45,Never Married,Female,No,12.191100099999998,8,0,0,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,No,No,No,Yes,Yes,Bank Transfer(automatic),1.230987375,148.91790459999999,394.202773,4,6,4,3,4,5,4,5
2167,W319899,Augusta,GA,Columbia,30903,33.490140000000004,-82.16265,658,Suburban,America/New_York,Medical physicist,3.0,53.27574750830565,Regular High School Diploma,Student,23691.5,Separated,Male,Yes,6.447842436,14,0,1,No,Two Year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Electronic Check,1.650983937,247.6237827,1328.4833119999998,2,3,3,4,5,3,3,3
2168,R86309,Boca Raton,FL,Palm Beach,33487,26.410079999999997,-80.09148,20176,Suburban,America/New_York,"Engineer, land",1.0,53.27574750830565,Bachelor's Degree,Full Time,17274.61,Widowed,Male,Yes,14.77904189,6,2,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Electronic Check,5.237872728999999,197.91417980000003,1249.287563,2,2,3,6,2,3,3,4
2169,W616179,Topeka,KS,Shawnee,66606,39.0616,-95.72116,10951,Rural,America/Chicago,Legal secretary,0.0,80.0,"Some College, 1 or More Years, No Degree",Full Time,52089.36,Separated,Female,No,13.55532959,11,3,1,No,Two Year,No,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Electronic Check,17.1355551,194.387219,1693.253857,4,4,4,4,3,5,5,4
2170,R468786,Dickerson,MD,Montgomery,20842,39.210770000000004,-77.42556,1712,Suburban,America/New_York,Higher education careers adviser,0.0,86.0,Nursery School to 8th Grade,Full Time,44186.7,Divorced,Female,Yes,16.73503491,14,0,1,No,Two Year,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Credit Card (automatic),3.708393705,162.6031024,883.6816755000001,3,4,2,4,4,2,5,4
2171,Z680392,Lincoln,DE,Sussex,19960,38.84899,-75.41364,6571,Suburban,America/New_York,"Teacher, secondary school",0.0,44.0,Regular High School Diploma,Full Time,102090.53,Widowed,Male,Yes,7.300897575,12,0,0,No,Month-to-month,Yes,No,None,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),5.582839326,201.2350666,1146.224262,2,2,1,3,1,4,3,4
2172,C813162,Edgewater,FL,Volusia,32141,28.923040000000004,-80.90101,18828,Suburban,America/New_York,Civil Service administrator,8.0,53.27574750830565,"9th Grade to 12th Grade, No Diploma",Full Time,39936.76222636489,Married,Female,No,9.308155167,12,1,0,No,Month-to-month,No,Yes,None,Yes,No,Yes,No,No,No,No,Yes,No,Electronic Check,16.02992173,117.46123899999999,1806.59355,2,3,3,3,5,2,2,3
2173,C209549,Dallas Center,IA,Dallas,50063,41.69932,-93.93611999999999,2469,Urban,America/Chicago,Plant breeder/geneticist,0.0,53.0,Regular High School Diploma,Full Time,4033.46,Widowed,Female,Yes,8.783027059,14,2,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,3.523461405,197.6519517,1173.915894,3,3,4,4,3,3,4,3
2174,H813670,Chickasaw,OH,Mercer,45826,40.43575,-84.49344,484,Urban,America/New_York,Adult guidance worker,2.0,35.0,Associate's Degree,Full Time,11970.69,Separated,Male,Yes,41.21799473,13,1,1,No,Month-to-month,No,No,None,Yes,No,No,No,No,No,No,Yes,No,Credit Card (automatic),7.535728902000001,144.1542981,965.7588051000001,3,4,4,5,3,5,3,4
2175,Z129976,Ray,ND,Williams,58849,48.31888,-103.19973,790,Urban,America/Chicago,Paediatric nurse,0.0,60.0,"Some College, 1 or More Years, No Degree",Full Time,18205.32,Married,Male,Yes,12.50791805,13,2,1,No,Month-to-month,No,No,None,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Bank Transfer(automatic),34.49885764604514,172.5030499,1175.631327,3,2,2,3,4,4,4,4
2176,Z21281,Spring,TX,Harris,77389,30.115159999999996,-95.50749,35349,Suburban,America/Chicago,Publishing rights manager,0.0,71.0,Bachelor's Degree,Full Time,26012.53,Married,Female,No,6.770021235,11,2,1,No,Month-to-month,Yes,No,None,Yes,No,Yes,No,No,No,No,Yes,No,Electronic Check,30.76980216,117.5020753,2744.394944,5,3,4,6,2,5,5,3
2177,S66272,Gibsonburg,OH,Sandusky,43431,41.38988,-83.33775,4868,Urban,America/New_York,Community development worker,0.0,70.0,Regular High School Diploma,Retired,27386.37,Divorced,Female,No,10.70438674,12,4,1,No,Two Year,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Electronic Check,12.43720599,201.3666969,1980.207923,3,3,5,4,3,6,3,5
2178,C993846,Parkhill,PA,Cambria,15945,40.35788,-78.86693000000001,99,Urban,America/New_York,"Engineer, civil (contracting)",0.0,53.27574750830565,Bachelor's Degree,Full Time,39936.76222636489,Never Married,Female,No,10.19512714,10,1,1,No,Two Year,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,6.739404805,245.91769019999998,3398.8427520151345,4,3,3,4,4,3,4,3
2179,R564739,Bangor,WI,La Crosse,54614,43.90108,-90.97024,2820,Urban,America/Chicago,Medical laboratory scientific officer,1.0,64.0,"9th Grade to 12th Grade, No Diploma",Full Time,47079.18,Separated,Male,Yes,14.07394783,11,2,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Credit Card (automatic),3.383777537,207.95019969999998,762.0564475,2,3,2,3,5,2,1,3
2180,Q858315,Manlius,IL,Bureau,61338,41.45877,-89.67613,257,Rural,America/Chicago,Physiological scientist,10.0,44.0,Bachelor's Degree,Full Time,38310.04,Never Married,Male,No,6.713058974,13,0,1,No,Two Year,Yes,No,Fiber Optic,No,No,No,No,No,No,Yes,No,No,Electronic Check,4.632153099999999,138.0537082,945.5166207999998,5,3,4,3,3,4,4,3
2181,C341035,Wells,MI,Delta,49894,45.78192,-87.07438,676,Urban,America/Detroit,"Surveyor, land/geomatics",6.0,21.0,Nursery School to 8th Grade,Full Time,35022.32,Married,Female,No,9.09706841,9,0,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Bank Transfer(automatic),1.9006708769999998,125.09840679999999,516.253628,3,2,3,3,5,4,3,3
2182,K340706,Sorrento,ME,Hancock,4677,44.490159999999996,-68.17945,327,Rural,America/New_York,"Nurse, mental health",3.0,53.27574750830565,"Some College, 1 or More Years, No Degree",Student,27252.38,Separated,Female,Yes,13.16930967,12,0,0,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Electronic Check,6.074592214,219.84411740000002,1197.913731,3,4,4,3,5,4,4,4
2183,C461782,Newbury,MA,Essex,1951,42.77803,-70.84976999999999,3755,Suburban,America/New_York,Chief of Staff,0.0,75.0,Master's Degree,Full Time,39936.76222636489,Never Married,Female,No,10.67257673,13,1,1,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),16.04075234,132.9594749,3398.8427520151345,3,3,2,5,3,4,3,3
2184,Y271616,Mishawaka,IN,St. Joseph,46545,41.693000000000005,-86.1464,24871,Urban,America/Indiana/Indianapolis,Newspaper journalist,0.0,53.27574750830565,Regular High School Diploma,Full Time,1179.53,Never Married,Female,Yes,11.63347918,13,2,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Bank Transfer(automatic),21.58351801,202.9285602,1988.072662,3,2,4,4,4,2,3,1
2185,D39279,Cold Brook,NY,Herkimer,13324,43.3262,-74.95408,2382,Suburban,America/New_York,"Psychologist, prison and probation services",4.0,27.0,Master's Degree,Part Time,78989.36,Widowed,Female,Yes,16.07705429,11,1,1,Yes,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,No,No,Electronic Check,10.469769300000001,160.50144450000002,1341.803325,5,5,3,1,6,4,3,3
2186,S981645,Rienzi,MS,Alcorn,38865,34.78437,-88.59098,5060,Urban,America/Chicago,"Engineer, communications",0.0,75.0,Regular High School Diploma,Full Time,36649.03,Divorced,Male,No,12.00597778,14,0,0,No,One year,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,No,Yes,No,Mailed Check,11.00763586,185.1375125,1835.3017690000001,6,5,5,4,1,6,6,8
